THE BEATLES                                                  |HEY JUDE (REMASTERED 2009)
SIRIUSMO                                                     |FEROMONIKON
DAVID GARCIA & DAVE AUDE                                     |DANCIN' CIRCLES (INPHINITY & KALENDR DUB)
SIDNEY SAMSON & STEVE AOKI                                   |WAKE UP CALL (PEACETREATY REMIX)
FUNKAGENDA & ADAM K                                          |DRIFT
BASSJACKERS                                                  |CRACKIN (MARTIN GARRIX EDIT)
BASSJACKERS                                                  |LIKE THAT (ORIGINAL MIX)
R3HAB & VINAI                                                |HOW WE PARTY
DEADMAU5                                                     |A CITY IN FLORIDA
HARDWELL                                                     |SPACEMAN (CARNAGE FESTIVAL TRAP REMIX)
YELLOW CLAW                                                  |DJ TURN IT UP
CARNAGE (DJ)                                                 |BANG!
NICKY ROMERO                                                 |SYMPHONICA (BARE REMIX)
LUMINOX                                                      |I RUN THIS
WOLFGANG GARTNER                                             |SPACE JUNK
BAAUER                                                       |DUM DUM
BASSJACKERS                                                  |MUSH, MUSH
THE BLOODY BEETROOTS                                         |WARP 1977
BRILLZ & ETC!ETC!                                            |CALLISTO
KILL THE NOISE & DATSIK                                      |LIGHTSPEED
BENNY BENASSI & THE BIZ                                      |SATISFACTION (RL GRIME REMIX)
KNIFE PARTY                                                  |TOURNIQUET
AFROJACK & R3HAB                                             |PRUTATAAA
KNIFE PARTY                                                  |INTERNET FRIENDS
MYBACK                                                       |TRIGGER
KNIFE PARTY                                                  |DESTROY THEM WITH LAZERS
AUTOEROTIQUE                                                 |TURN UP THE VOLUME
BENNY BENASSI                                                |AUTOMATIC B
CHUCKIE & HARDWELL                                           |MOVE IT 2 THE DRUM
CHUCKIE & SILVIO ECOMO                                       |MOOMBAH (SIDNEY SAMSON REMIX)
JOACHIM GARRAUD                                              |WE ARE BACK (ROCKSTARZ REMIX)
RUSKO                                                        |WOO BOOST (SUBSKRPT EDIT)
BENNY BENASSI & THE BIZ                                      |SATISFACTION (ISAK ORIGINAL EXTENDED MIX)
CHUCKIE & HARDWELL                                           |MOVE IT 2 THE DRUM (TECH MIX)
THE BLOODY BEETROOTS                                         |WARP 1.9
BINGO PLAYERS                                                |L'AMOUR
CHUCKIE & SILVIO ECOMO                                       |MOOMBAH (AFROJACK REMIX)
CYBERPUNKERS                                                 |OMG (TOM DELUXX REMIX)
DJ TIGA                                                      |YOU GONNA WANT ME (HEY TODAY! REMIX)
CHUCKIE & GREGORI KLOSMAN                                    |MUTFAKTA
W&W                                                          |RAVE AFTER RAVE
MAJOR LAZER                                                  |ORIGINAL DON
FEED ME                                                      |GRAND THEFT ECSTASY
DJ ALEX BLEND                                                |SHOCKIN'
HYPER CRUSH                                                  |RAGE
DJ ALEX BLEND                                                |WE CAN CHANGE THE WORLD
SKRILLEX                                                     |REPTILE'S THEME
DJ ALEX BLEND                                                |XXX
TIMMY TRUMPET                                                |FREAKS (FEAT. SAVAGE)
SHOWTEK                                                      |THE F-TRACK
MORD FUSTANG                                                 |THE ELECTRIC DREAM (EGOISM & ELECTROLIGHT REMIX)
MORD FUSTANG                                                 |THE ELECTRIC DREAM (JONATHAN GERING REMIX)
WOLFGANG GARTNER                                             |SHRUNKEN HEADS
VENACCIO, DAIGON                                             |OUT OF NOWHERE
DJ ENCORE                                                    |I SEE RIGHT THROUGH TO YOU
ROBERT MILES                                                 |CHILDREN (DREAM VERSION)
VOODOO & SERANO                                              |THIS IS ACID
JACK BEATS                                                   |GET DOWN
MORD FUSTANG                                                 |LICK THE RAINBOW
SWEDISH HOUSE MAFIA                                          |SAVE THE WORLD (KNIFE PARTY REMIX)
MARSHMELLO                                                   |MOVING ON
BASSHUNTER                                                   |BOTEN ANNA
WHITESNAKE                                                   |HERE I GO AGAIN 87 (2018 REMASTER)
STEVE MILLER BAND                                            |TAKE THE MONEY AND RUN
JOHN MELLENCAMP                                              |LONELY OL' NIGHT
OK GO                                                        |HERE IT GOES AGAIN
THE BLACK KEYS                                               |HOWLIN' FOR YOU
SILVERSUN PICKUPS                                            |LAZY EYE
PHOENIX                                                      |GIRLFRIEND
THE PRESIDENTS OF THE UNITED STATES OF AMERICA               |LUMP
MARTIN SOLVEIG & DRAGONETTE                                  |HELLO
NEON TREES                                                   |1983
HARVEY DANGER                                                |FLAGPOLE SITTA
ELLIE GOULDING                                               |LIGHTS (SINGLE VERSION)
NEON TREES                                                   |ANIMAL
YOUNG THE GIANT                                              |MY BODY
LINKIN PARK                                                  |SOMEWHERE I BELONG
SALIVA                                                       |LADIES AND GENTLEMEN
DISTURBED                                                    |VOICES
LINKIN PARK                                                  |POINTS OF AUTHORITY
SALIVA                                                       |CLICK CLICK BOOM
SEETHER                                                      |REMEDY
BREAKING BENJAMIN                                            |INTO THE NOTHING
LINKIN PARK                                                  |LYING FROM YOU
KID CUDI                                                     |DAY 'N' NITE (NIGHTMARE)
LIL WAYNE                                                    |MIRROR
B.O.B                                                        |SO GOOD
MITIS & MAHI                                                 |BLU
DJ KHALED                                                    |WE TAKIN' OVER
DRAKE                                                        |THE MOTTO (REMIX)
50 CENT                                                      |IN DA CLUB
KANYE WEST                                                   |POWER
50 CENT                                                      |DISCO INFERNO
DJ KHALED                                                    |ALL I DO IS WIN
DMX                                                          |X GON' GIVE IT TO YA
DRAKE                                                        |I'M GOIN IN
THE GAME                                                     |HOW WE DO
KANYE WEST                                                   |MERCY (FEAT. BIG SEAN, PUSHA T & 2 CHAINZ)
LIL WAYNE                                                    |BLUNT BLOWIN
DRAKE                                                        |OVER
B.O.B                                                        |STRANGE CLOUDS
BIG SEAN                                                     |DANCE (A$$) (REMIX FEAT. NICKI MINAJ)
EMINEM                                                       |MOCKINGBIRD
EMINEM                                                       |THE WAY I AM
EMINEM                                                       |'TILL I COLLAPSE
EXAMPLE                                                      |NEVER HAD A DAY
LA ROUX                                                      |BULLETPROOF (RADIO EDIT)
EXAMPLE                                                      |LAST ONES STANDING
EXAMPLE                                                      |WATCH THE SUN COME UP
SWEDISH HOUSE MAFIA                                          |DON'T YOU WORRY CHILD
CALVIN HARRIS                                                |SUMMER
EXAMPLE                                                      |CHANGED THE WAY YOU KISS ME (RADIO EDIT)
EXAMPLE                                                      |SICK NOTE
EXAMPLE                                                      |FROM SPACE
LAIDBACK LUKE & EXAMPLE                                      |NATURAL DISASTER
CALVIN HARRIS                                                |I'M NOT ALONE
BLUE FOUNDATION                                              |EYES ON FIRE
EXAMPLE                                                      |WON'T GO QUIETLY
MIIKE SNOW                                                   |ANIMAL (PUNKS JUMP UP REMIX)
EXAMPLE                                                      |CHANGED THE WAY YOU KISS ME
EXAMPLE                                                      |STAY AWAKE
EXAMPLE                                                      |KICKSTARTS
RUSKO                                                        |HOLD ON (SUB FOCUS REMIX)
EXAMPLE                                                      |CLOSE ENEMIES
EXAMPLE                                                      |MIDNIGHT RUN
EXAMPLE                                                      |NATURAL DISASTER (LAIDBACK LUKE VS. EXAMPLE)
EXAMPLE                                                      |KIDS AGAIN (DIMENSION REMIX)
EXAMPLE                                                      |TIME MACHINE
FYTCH, CAPTAIN CRUNCH & CARMEN FORBES                        |RAINDROPS (TOMBA REMIX)
EXAMPLE                                                      |PLAYING IN THE SHADOWS
POISON                                                       |EVERY ROSE HAS ITS THORN
METALLICA                                                    |THE UNFORGIVEN
DANZIG                                                       |MOTHER
AC/DC                                                        |IF YOU WANT BLOOD
VAN HALEN                                                    |RUNNIN' WITH THE DEVIL
METALLICA                                                    |WHEREVER I MAY ROAM
PAUL MCCARTNEY                                               |MAYBE I’M AMAZED
THE TEMPTATIONS                                              |AIN'T TOO PROUD TO BEG
THE RIGHTEOUS BROTHERS                                       |UNCHAINED MELODY
THE BEATLES                                                  |YESTERDAY
JACKSON 5                                                    |ABC
THE BEATLES                                                  |LET IT BE
AL GREEN                                                     |LET'S STAY TOGETHER
JACKSON 5                                                    |I WANT YOU BACK
LED ZEPPELIN                                                 |OVER THE HILLS AND FAR AWAY
SIMON & GARFUNKEL                                            |MRS. ROBINSON
LED ZEPPELIN                                                 |I CAN'T QUIT YOU BABY
FOUR TOPS                                                    |I CAN'T HELP MYSELF (SUGAR PIE, HONEY BUNCH)
LED ZEPPELIN                                                 |WHEN THE LEVEE BREAKS
LED ZEPPELIN                                                 |GOING TO CALIFORNIA (LIVE AT PARIS THEATRE 4/1/71)
TOM PETTY                                                    |AMERICAN GIRL
DAVID GILMOUR                                                |WISH YOU WERE HERE (LIVE)
PINK FLOYD                                                   |WISH YOU WERE HERE
JIMI HENDRIX                                                 |THE WIND CRIES MARY (LIVE 1967)
GRATEFUL DEAD                                                |GOIN' DOWN THE ROAD FEELING BAD (BICKERSHAW FESTIVAL, WIGAN, ENGLAND 5/7/1972)
AEROSMITH                                                    |DREAM ON (LIVE)
GREGG ALLMAN                                                 |MIDNIGHT RIDER
CREAM                                                        |WHITE ROOM
JIMI HENDRIX                                                 |VOODOO CHILE
LED ZEPPELIN                                                 |RAMBLE ON
THE BEATLES                                                  |STRAWBERRY FIELDS FOREVER
STATUS QUO                                                   |PICTURES OF MATCHSTICK MEN
JIMI HENDRIX                                                 |CASTLES MADE OF SAND
THE BEATLES                                                  |I AM THE WALRUS
JIMI HENDRIX                                                 |PURPLE HAZE
JIMI HENDRIX                                                 |THE WIND CRIES MARY
STEVIE RAY VAUGHAN                                           |VOODOO CHILD (SLIGHT RETURN)
THE ZOMBIES                                                  |TIME OF THE SEASON (ALTERNATE MIX)
THE BEATLES                                                  |REVOLUTION
THE BEATLES                                                  |ELEANOR RIGBY
THE ROLLING STONES                                           |BROWN SUGAR
THE BEATLES                                                  |COME TOGETHER
JIMI HENDRIX                                                 |VOODOO CHILD (SLIGHT RETURN)
JOHN LENNON                                                  |IMAGINE
LED ZEPPELIN                                                 |IMMIGRANT SONG
THE ROLLING STONES                                           |(I CAN'T GET NO) SATISFACTION
BLACK SABBATH                                                |WAR PIGS
THE KINKS                                                    |TILL THE END OF THE DAY
JIMI HENDRIX                                                 |HEAR MY TRAIN A COMIN'
JIMI HENDRIX                                                 |PURPLE HAZE (LIVE)
JIMI HENDRIX                                                 |ARE YOU EXPERIENCED?
THE BEATLES                                                  |I WANT YOU (SHE'S SO HEAVY)
THE ELECTRIC PRUNES                                          |I HAD TOO MUCH TO DREAM (LAST NIGHT)
THE YARDBIRDS                                                |OVER, UNDER, SIDEWAYS, DOWN
LED ZEPPELIN                                                 |HEY, HEY, WHAT CAN I DO
CREAM                                                        |SUNSHINE OF YOUR LOVE (BBC LIVE)
THE ROLLING STONES                                           |19TH NERVOUS BREAKDOWN
THE DOORS                                                    |RIDERS ON THE STORM
JIMI HENDRIX                                                 |BOLD AS LOVE
CREAM                                                        |STRANGE BREW
THE YARDBIRDS                                                |HEART FULL OF SOUL
THE DOORS                                                    |PEOPLE ARE STRANGE
THE BEATLES                                                  |STRAWBERRY FIELDS FOREVER (LOVE VERSION)
THE COUNT FIVE                                               |PSYCHOTIC REACTION
CREEDENCE CLEARWATER REVIVAL                                 |GREEN RIVER
JIMI HENDRIX                                                 |ALL ALONG THE WATCHTOWER
CREAM                                                        |SUNSHINE OF YOUR LOVE
THE ROLLING STONES                                           |SYMPATHY FOR THE DEVIL
CREEDENCE CLEARWATER REVIVAL                                 |I HEARD IT THROUGH THE GRAPEVINE
THE ZOMBIES                                                  |TIME OF THE SEASON
CREEDENCE CLEARWATER REVIVAL                                 |PROUD MARY
CREEDENCE CLEARWATER REVIVAL                                 |SUZIE Q
CREEDENCE CLEARWATER REVIVAL                                 |TRAVELIN' BAND
THE SMOKIN' JOE KUBEK BAND                                   |WALK WITH YOU
THE DOOBIE BROTHERS                                          |LONG TRAIN RUNNIN'
LED ZEPPELIN                                                 |ALL MY LOVE
THE MARSHALL TUCKER BAND                                     |CAN'T YOU SEE
THE ALLMAN BROTHERS BAND                                     |MIDNIGHT RIDER
STEELY DAN                                                   |REELIN' IN THE YEARS
T. REX (TYRANNOSAURUS REX)                                   |BANG A GONG (GET IT ON)
LED ZEPPELIN                                                 |BLACK DOG
38 SPECIAL                                                   |HOLD ON LOOSELY
THE ROLLING STONES                                           |MISS YOU
EAGLES                                                       |THE LONG RUN
EAGLES                                                       |HEARTACHE TONIGHT
LED ZEPPELIN                                                 |KASHMIR
THE DOOBIE BROTHERS                                          |CHINA GROVE
ELTON JOHN                                                   |BENNIE AND THE JETS
ELTON JOHN                                                   |ROCKET MAN
THE WHO                                                      |BEHIND BLUE EYES
T. REX (TYRANNOSAURUS REX)                                   |GET IT ON  (BBC RECORDING)
LYNYRD SKYNYRD                                               |GIMME THREE STEPS
STEVE MILLER BAND                                            |ROCK'N ME
SANTANA                                                      |BLACK MAGIC WOMAN/GYPSY QUEEN
BACHMAN-TURNER OVERDRIVE                                     |TAKIN' CARE OF BUSINESS
LED ZEPPELIN                                                 |STAIRWAY TO HEAVEN (LIVE AT PARIS THEATRE 4/1/71)
FREE                                                         |ALL RIGHT NOW (1970)
LED ZEPPELIN                                                 |STAIRWAY TO HEAVEN (LIVE 1973)
LED ZEPPELIN                                                 |STAIRWAY TO HEAVEN
BOB SEGER                                                    |OLD TIME ROCK AND ROLL
BACHMAN-TURNER OVERDRIVE                                     |YOU AIN'T SEEN NOTHING YET
LYNYRD SKYNYRD                                               |FREE BIRD
LYNYRD SKYNYRD                                               |SWEET HOME ALABAMA
HARRY CHAPIN                                                 |CAT'S IN THE CRADLE
DON MCLEAN                                                   |AMERICAN PIE
THE DOOBIE BROTHERS                                          |LISTEN TO THE MUSIC
BILLY JOEL                                                   |PIANO MAN
CREEDENCE CLEARWATER REVIVAL                                 |UP AROUND THE BEND
DEEP PURPLE                                                  |SMOKE ON THE WATER
CREEDENCE CLEARWATER REVIVAL                                 |LOOKIN' OUT MY BACK DOOR
TRAIN                                                        |DROPS OF JUPITER
AEROSMITH                                                    |WALK THIS WAY
GEORGE THOROGOOD                                             |BAD TO THE BONE
AMERICA                                                      |A HORSE WITH NO NAME
PLAIN WHITE T'S                                              |RHYTHM OF LOVE
BOB SEGER                                                    |OLD TIME ROCK & ROLL
ONEREPUBLIC                                                  |APOLOGIZE (TIMBALAND RADIO REMIX)
TRAIN                                                        |CALLING ALL ANGELS
ONEREPUBLIC                                                  |ALL THE RIGHT MOVES
LIFEHOUSE                                                    |HALFWAY GONE
MÖTLEY CRÜE                                                  |KICKSTART MY HEART
FIVE FOR FIGHTING                                            |100 YEARS
THE FRAY                                                     |NEVER SAY NEVER
THE SCRIPT                                                   |THE MAN WHO CAN'T BE MOVED
U2                                                           |I STILL HAVEN'T FOUND WHAT I'M LOOKING FOR
JENNIFER WARNES                                              |(I'VE HAD) THE TIME OF MY LIFE
TAYLOR SWIFT                                                 |SHAKE IT OFF
MAROON 5                                                     |SUGAR
JOAN JETT                                                    |I LOVE ROCK 'N' ROLL
BRUNO MARS                                                   |LOCKED OUT OF HEAVEN
UB40                                                         |RED RED WINE
THE SCRIPT                                                   |BREAKEVEN
AEROSMITH                                                    |I DON'T WANT TO MISS A THING
ROB THOMAS                                                   |LONELY NO MORE
JOSE FELICIANO (HOLIDAY)                                     |FELIZ NAVIDAD (LIVE)
ROBIN THICKE                                                 |BLURRED LINES
SARA BAREILLES                                               |LOVE SONG
KELLY CLARKSON                                               |SINCE U BEEN GONE
NO DOUBT                                                     |DON'T SPEAK
NATASHA BEDINGFIELD                                          |UNWRITTEN
JAMES BLUNT                                                  |YOU'RE BEAUTIFUL
DANIEL POWTER                                                |BAD DAY
TIMBALAND                                                    |APOLOGIZE (FEAT. ONEREPUBLIC)
P!NK                                                         |TRY
ADELE                                                        |WATER UNDER THE BRIDGE
LORDE                                                        |ROYALS
CHARLIE PUTH                                                 |ONE CALL AWAY
LUKAS GRAHAM                                                 |7 YEARS
DEL AMITRI                                                   |ROLL TO ME
SPIN DOCTORS                                                 |TWO PRINCES
SMASH MOUTH                                                  |ALL STAR
OASIS                                                        |WONDERWALL
DEEP BLUE SOMETHING                                          |BREAKFAST AT TIFFANY'S
VERTICAL HORIZON                                             |EVERYTHING YOU WANT
MATCHBOX TWENTY                                              |PUSH
THIRD EYE BLIND                                              |JUMPER
BEE GEES                                                     |NIGHT FEVER (SERBAN MIX)
CREEDENCE CLEARWATER REVIVAL                                 |DOWN ON THE CORNER
JOHN MELLENCAMP                                              |SMALL TOWN
OTIS REDDING                                                 |STAND BY ME
ROY ORBISON                                                  |OH, PRETTY WOMAN
THE BEACH BOYS                                               |I GET AROUND
THE BEACH BOYS                                               |WOULDN'T IT BE NICE
CREEDENCE CLEARWATER REVIVAL                                 |WHO'LL STOP THE RAIN
THE MONKEES                                                  |I'M A BELIEVER
THE ROLLING STONES                                           |YOU CAN'T ALWAYS GET WHAT YOU WANT
VAN MORRISON                                                 |BROWN EYED GIRL
DION                                                         |RUNAROUND SUE
THE DOOBIE BROTHERS                                          |LISTEN TO THE MUSIC (1976)
MAXINE NIGHTINGALE                                           |RIGHT BACK WHERE WE STARTED FROM
JACKIE WILSON                                                |(YOUR LOVE KEEPS LIFTING ME) HIGHER AND HIGHER
SAM & DAVE                                                   |HOLD ON, I'M COMIN'
DION & THE BELMONTS                                          |RUNAROUND SUE
STEVIE WONDER                                                |SIGNED, SEALED, DELIVERED I'M YOURS
ELTON JOHN                                                   |YOUR SONG
BOBBY MCFERRIN                                               |DON'T WORRY, BE HAPPY
THE BEATLES                                                  |TWIST AND SHOUT
STEVIE WONDER                                                |SIGNED, SEALED, DELIVERED I'M YOURS (ALTERNATE MIX)
THE ROLLING STONES                                           |JUMPIN' JACK FLASH
THE ROLLING STONES                                           |GIMME SHELTER
MARVIN GAYE                                                  |I HEARD IT THROUGH THE GRAPEVINE
DION                                                         |DREAM LOVER
THE SUPREMES                                                 |WHERE DID OUR LOVE GO
AMERICA                                                      |SISTER GOLDEN HAIR
BUFFALO SPRINGFIELD                                          |FOR WHAT IT'S WORTH
EAGLES                                                       |TAKE IT EASY
T. REX (TYRANNOSAURUS REX)                                   |GET IT ON
LOUIS ARMSTRONG                                              |WHAT A WONDERFUL WORLD
KING HARVEST                                                 |DANCING IN THE MOONLIGHT
NORMAN GREENBAUM                                             |SPIRIT IN THE SKY
THE CONTOURS                                                 |DO YOU LOVE ME
DION                                                         |THE WANDERER (TAKE 1)
THE FOUNDATIONS                                              |BUILD ME UP BUTTERCUP
MANFRED MANN                                                 |DOO WAH DIDDY
DION                                                         |THE WANDERER
MARVIN GAYE & TAMMI TERRELL                                  |AIN'T NO MOUNTAIN HIGH ENOUGH
BILL WITHERS                                                 |AIN'T NO SUNSHINE
THURSTON HARRIS & THE SHARPS                                 |LITTLE BITTY PRETTY ONE
BILL WITHERS                                                 |LEAN ON ME
THE HOLLIES                                                  |LONG COOL WOMAN (IN A BLACK DRESS)
BEN E. KING                                                  |STAND BY ME
CREEDENCE CLEARWATER REVIVAL                                 |BAD MOON RISING
STEALERS WHEEL                                               |STUCK IN THE MIDDLE WITH YOU
RAY CHARLES                                                  |HIT THE ROAD JACK
THE CHORDS (1950S)                                           |SH-BOOM (LIFE COULD BE A DREAM)
JAMES ARTHUR                                                 |SAY YOU WON'T LET GO
CHRISTINA PERRI                                              |A THOUSAND YEARS
DAVID GUETTA                                                 |TITANIUM
TAYLOR SWIFT                                                 |BLANK SPACE
BRUNO MARS                                                   |JUST THE WAY YOU ARE
NEON TREES                                                   |EVERYBODY TALKS
WALK THE MOON                                                |SHUT UP AND DANCE
HOT CHELLE RAE                                               |TONIGHT TONIGHT
B.O.B                                                        |NOTHIN' ON YOU
U2                                                           |BEAUTIFUL DAY
THE BLACK EYED PEAS                                          |I GOTTA FEELING
KATY PERRY                                                   |HOT N COLD
KID ROCK                                                     |ALL SUMMER LONG
PLAIN WHITE T'S                                              |HEY THERE DELILAH
EVANESCENCE                                                  |BRING ME TO LIFE
TRAIN                                                        |DRIVE BY
TAYLOR SWIFT                                                 |YOU NEED TO CALM DOWN
DEAN LEWIS                                                   |BE ALRIGHT
JUSTIN TIMBERLAKE                                            |CAN'T STOP THE FEELING! (ORIGINAL SONG FROM DREAMWORKS ANIMATION'S "TROLLS")
P!NK                                                         |WHAT ABOUT US
ANDY GRAMMER                                                 |HONEY, I'M GOOD.
ANDY GRAMMER                                                 |KEEP YOUR HEAD UP
BRUNO MARS                                                   |WHEN I WAS YOUR MAN
SHAWN MENDES                                                 |TREAT YOU BETTER
ELLIE GOULDING                                               |ON MY MIND
LP                                                           |LOST ON YOU
DEVO                                                         |WHIP IT
REO SPEEDWAGON                                               |KEEP ON LOVING YOU
FREDDIE MERCURY                                              |TIME
THE VERVE                                                    |BITTER SWEET SYMPHONY
CAGE THE ELEPHANT                                            |SHAKE ME DOWN
THE KILLERS                                                  |ALL THESE THINGS THAT I'VE DONE
ARCTIC MONKEYS                                               |DO I WANNA KNOW?
THE FRATELLIS                                                |CHELSEA DAGGER
ARCTIC MONKEYS                                               |R U MINE?
GORILLAZ                                                     |DARE
JET                                                          |ARE YOU GONNA BE MY GIRL
SUPERGRASS                                                   |ALRIGHT
BLUR                                                         |SONG 2
GORILLAZ                                                     |CLINT EASTWOOD
MUSE                                                         |UPRISING
THE SMITHS                                                   |I KNOW IT'S OVER
ARCTIC MONKEYS                                               |WHY'D YOU ONLY CALL ME WHEN YOU'RE HIGH?
THE KILLERS                                                  |WHEN YOU WERE YOUNG
FOSTER THE PEOPLE                                            |HELENA BEAT
PHOENIX                                                      |LISZTOMANIA
THE KOOKS                                                    |NAIVE
THE BRAVERY                                                  |BELIEVE
BON IVER                                                     |SKINNY LOVE
WEEZER                                                       |ISLAND IN THE SUN
RATATAT                                                      |LOUD PIPES
COCONUT RECORDS                                              |WEST COAST
CAESARS                                                      |JERK IT OUT
THE LUMINEERS                                                |FLAPPER GIRL
PHOENIX                                                      |IF I EVER FEEL BETTER (REMIX)
THE POSTAL SERVICE                                           |SUCH GREAT HEIGHTS
TWO DOOR CINEMA CLUB                                         |UNDERCOVER MARTYN
GRIZZLY BEAR                                                 |TWO WEEKS
THE BEATLES                                                  |HERE COMES THE SUN
MUMFORD & SONS                                               |LITTLE LION MAN (EP VERSION)
CAGE THE ELEPHANT                                            |CIGARETTE DAYDREAMS
FOSTER THE PEOPLE                                            |SIT NEXT TO ME
DR. DOG                                                      |HEART IT RACES
THE NAKED AND FAMOUS                                         |YOUNG BLOOD
PHILLIP PHILLIPS                                             |HOME
THE STROKES                                                  |REPTILIA
FOSTER THE PEOPLE                                            |I WOULD DO ANYTHING FOR YOU
FOSTER THE PEOPLE                                            |WASTE
VANCE JOY                                                    |RIPTIDE
THE WHITEST BOY ALIVE                                        |BURNING
FOSTER THE PEOPLE                                            |HOUDINI
FOSTER THE PEOPLE                                            |DON'T STOP (COLOR ON THE WALLS)
MUMFORD & SONS                                               |AWAKE MY SOUL
THE KILLERS                                                  |READ MY MIND
THE WHITE STRIPES                                            |WE'RE GOING TO BE FRIENDS
MUMFORD & SONS                                               |THE CAVE (LIVE)
THE AVETT BROTHERS                                           |HEAD FULL OF DOUBT, ROAD FULL OF PROMISE
ONEREPUBLIC                                                  |APOLOGIZE
OF MONSTERS AND MEN                                          |DIRTY PAWS
MUMFORD & SONS                                               |WINTER WINDS
COLDPLAY                                                     |VIVA LA VIDA
JOHN MAYER                                                   |SAY
CREED                                                        |WITH ARMS WIDE OPEN
JASON MRAZ                                                   |I'M YOURS
AMERICAN AUTHORS                                             |BEST DAY OF MY LIFE
SNOW PATROL                                                  |CHASING CARS
HOWIE DAY                                                    |COLLIDE (LIVE)
THE FRAY                                                     |OVER MY HEAD (CABLE CAR)
MUMFORD & SONS                                               |LITTLE LION MAN
MATT NATHANSON                                               |COME ON GET HIGHER
IMAGINE DRAGONS                                              |ON TOP OF THE WORLD
MUMFORD & SONS                                               |WHITE BLANK PAGE
HOWIE DAY                                                    |COLLIDE (ACOUSTIC VERSION)
MUMFORD & SONS                                               |THE CAVE
3 DOORS DOWN                                                 |LET ME GO
LIFEHOUSE                                                    |BROKEN
VANCE JOY                                                    |MESS IS MINE
FORT MINOR                                                   |REMEMBER THE NAME (FEAT. STYLES OF BEYOND) (RADIO EDIT)
FORT MINOR                                                   |REMEMBER THE NAME (FEAT. STYLES OF BEYOND)
FALL OUT BOY                                                 |CENTURIES
LUPE FIASCO                                                  |THE SHOW GOES ON
JAY-Z                                                        |YOUNG FOREVER
WIZ KHALIFA                                                  |ROLL UP
ATMOSPHERE                                                   |SUNSHINE
THE BLACK EYED PEAS                                          |JUST CAN'T GET ENOUGH
THE BLACK EYED PEAS                                          |WHERE IS THE LOVE
OUTKAST                                                      |THE WAY YOU MOVE
EMINEM                                                       |LOSE YOURSELF
WIZ KHALIFA                                                  |BLACK AND YELLOW
WIZ KHALIFA                                                  |SAY YEAH (RADIO EDIT)
WIZ KHALIFA                                                  |NO SLEEP
JAY-Z                                                        |RUN THIS TOWN
SNOOP DOGG & WIZ KHALIFA                                     |YOUNG, WILD & FREE
ATMOSPHERE                                                   |YESTERDAY
NAPPY ROOTS                                                  |GOOD DAY
THREE DAYS GRACE                                             |JUST LIKE YOU
LUKAS GRAHAM                                                 |MAMA SAID
BRAILLE & ETHIC                                              |THE UNIMPORTANT ONES
DR. DRE                                                      |NUTHIN' BUT A "G" THANG
DARYL HALL & JOHN OATES                                      |SARA SMILE
BEE GEES                                                     |MORE THAN A WOMAN
OUTKAST                                                      |THE WAY YOU MOVE (RADIO MIX)
WARREN G                                                     |REGULATE (FEAT. NATE DOGG)
KURTIS BLOW                                                  |THE BREAKS
SUGARHILL GANG                                               |RAPPER'S DELIGHT (LONG VERSION)
HOUSE OF PAIN                                                |JUMP AROUND
THE NOTORIOUS B.I.G.                                         |BIG POPPA
OUTKAST                                                      |MS. JACKSON
GNARLS BARKLEY                                               |CRAZY
WARREN G                                                     |REGULATE (JAMMIN' REMIX)
SUGARHILL GANG                                               |RAPPER'S DELIGHT
GRANDMASTER FLASH & THE FURIOUS FIVE                         |THE MESSAGE
OUTKAST                                                      |HEY YA!
LUNIZ                                                        |I GOT 5 ON IT
RUN-D.M.C.                                                   |IT'S TRICKY
ICE CUBE                                                     |CHECK YO SELF
OUTKAST                                                      |ROSES
SNOOP DOGG                                                   |GIN & JUICE
DR. DRE                                                      |THE NEXT EPISODE
PETEY PABLO                                                  |FREEK-A-LEEK
OUTKAST                                                      |SO FRESH, SO CLEAN
LIL WAYNE                                                    |WE BE STEADY MOBBIN'
LIL WAYNE                                                    |A MILLI
LIL WAYNE                                                    |DROP THE WORLD
WAKA FLOCKA FLAME                                            |NO HANDS (FEAT. ROSCOE DASH AND WALE)
TYGA                                                         |MAKE IT NASTY
LIL JON                                                      |SHOTS
LIL JON                                                      |SNAP YO FINGERS
TYGA                                                         |FADED
DRAKE                                                        |HEADLINES
YOUNG JEEZY                                                  |SOUL SURVIVOR
BIG SEAN                                                     |DANCE (A$$)
TYGA                                                         |RACK CITY
DRAKE                                                        |FOREVER
LIL TROY                                                     |WANNA BE A BALLER (FEAT. YUNGSTAR, FAT PAT & BIG T)
DJ KHALED                                                    |I'M ON ONE
WIZ KHALIFA                                                  |WORK HARD, PLAY HARD
LIL WAYNE                                                    |SHE WILL
YUNG JOC                                                     |IT'S GOIN' DOWN
CHRIS BROWN                                                  |LOOK AT ME NOW
LIL WAYNE                                                    |LOLLIPOP
LIL WAYNE                                                    |STEADY MOBBIN' (FEAT. GUCCI MANE)
LIL WAYNE                                                    |RIGHT ABOVE IT
LIL WAYNE                                                    |6 FOOT 7 FOOT
T.I.                                                         |LIVE YOUR LIFE
LIL JON & THE EAST SIDE BOYZ                                 |GET LOW
LIL WAYNE                                                    |MY HOMIES STILL
BOYZ N DA HOOD                                               |DEM BOYZ
MIGOS                                                        |BAD AND BOUJEE (FEAT. LIL UZI VERT)
LIL WAYNE                                                    |BRING IT BACK
LIL WAYNE                                                    |I'M ME
