T-PAIN                                                       |I'M SPRUNG
SAM SMITH                                                    |TOO GOOD AT GOODBYES
LIAM PAYNE                                                   |STRIP THAT DOWN (FEAT. QUAVO)
HAILEE STEINFELD & ALESSO                                    |LET ME GO (FEAT. FLORIDA GEORGIA LINE & WATT)
KESHA                                                        |PRAYING
TWENTY ONE PILOTS                                            |STRESSED OUT
G-EAZY & BEBE REXHA                                          |ME, MYSELF & I
MACKLEMORE                                                   |GOOD OLD DAYS (FEAT. KESHA)
KHALID                                                       |YOUNG DUMB & BROKE
DUA LIPA                                                     |NEW RULES
NIALL HORAN                                                  |SLOW HANDS
ED SHEERAN                                                   |PERFECT
CAMILA CABELLO                                               |HAVANA (FEAT. YOUNG THUG)
FRENCH MONTANA                                               |UNFORGETTABLE (FEAT. SWAE LEE)
MAROON 5                                                     |DON'T WANNA KNOW (FEAT. KENDRICK LAMAR)
JUSTIN BIEBER                                                |SORRY
SAM HUNT                                                     |BODY LIKE A BACK ROAD
MAJOR LAZER                                                  |COLD WATER (FEAT. JUSTIN BIEBER & MØ)
ALESSIA CARA                                                 |HERE
FLO RIDA                                                     |MY HOUSE
THE CHAINSMOKERS                                             |CLOSER (FEAT. HALSEY)
SHAWN MENDES                                                 |STITCHES
NICKELBACK                                                   |PHOTOGRAPH
TOOL                                                         |THE GRUDGE
CROSSFADE                                                    |COLD
JOHN WETTON & GEOFFREY DOWNES                                |HEAT OF THE MOMENT
AEROSMITH                                                    |SWEET EMOTION
AVENGED SEVENFOLD                                            |SCREAM
AVENGED SEVENFOLD                                            |THIS MEANS WAR
AVENGED SEVENFOLD                                            |HAIL TO THE KING
LINKIN PARK                                                  |A PLACE FOR MY HEAD
GREEN DAY                                                    |HOLIDAY/BOULEVARD OF BROKEN DREAMS
LINKIN PARK                                                  |FORGOTTEN
LINKIN PARK                                                  |HALFWAY RIGHT
LINKIN PARK                                                  |INVISIBLE
RED HOT CHILI PEPPERS                                        |SCAR TISSUE
GODSMACK                                                     |I STAND ALONE
DROWNING POOL                                                |BODIES
TAYLOR DAVIS                                                 |DEARLY BELOVED (KINGDOM HEARTS)
KC & THE SUNSHINE BAND & TERI DESARIO                        |(SHAKE, SHAKE, SHAKE) SHAKE YOUR BOOTY (45 VERSION)
KASKADE & DEADMAU5                                           |MOVE FOR ME
DAVID GUETTA & SHOWTEK                                       |BAD (FEAT. VASSY) (RADIO EDIT)
KANYE WEST & JAY-Z                                           |NO CHURCH IN THE WILD
D.H.T.                                                       |LISTEN TO YOUR HEART (FURIOUS F. EZ RADIO EDIT)
DEADMAU5 & WOLFGANG GARTNER                                  |CHANNEL 42
CALVIN HARRIS                                                |WE'LL BE COMING BACK
VOODOO & SERANO                                              |BLOOD IS PUMPING 2005
TREY PARKER, MATT STONE & HARRY GREGSON-WILLIAMS             |MONTAGE
SHAWN LEE'S PING PONG ORCHESTRA & NINO MOSCHELLA             |KISS THE SKY
ALAN MENKEN (CHILDREN'S)                                     |I WON'T SAY (I'M IN LOVE)
WALT DISNEY'S THE LION KING (CHILDREN'S)                     |CAN YOU FEEL THE LOVE TONIGHT
JERSEY BOYS (ORIGINAL BROADWAY CAST)                         |WALK LIKE A MAN
ALAN MENKEN (CHILDREN'S)                                     |COLORS OF THE WIND
THE EDGAR WINTER GROUP                                       |FREE RIDE
THE CALLING                                                  |WHERE EVER YOU GO
MARTIN GARRIX                                                |DON'T LOOK DOWN (FEAT. USHER)
NADIA ALI, STARKILLERS & ALEX KENJI                          |PRESSURE (ALESSO RADIO EDIT)
JACKSON 5                                                    |ROCKIN' ROBIN
DONNIE TRUMPET & THE SOCIAL EXPERIMENT                       |SUNDAY CANDY
KANYE WEST & JAY-Z                                           |GOTTA HAVE IT
KANYE WEST & JAY-Z                                           |WHO GON STOP ME
PAUL MCCARTNEY                                               |HELLO GOODBYE (LIVE)
JOAN JETT                                                    |I HATE MYSELF FOR LOVING YOU
STEVIE NICKS                                                 |RHIANNON
CLEAN BANDIT                                                 |RATHER BE (FEAT. JESS GLYNNE) (ALL ABOUT SHE REMIX)
STEVIE NICKS                                                 |LANDSLIDE (LIVE)
UNK                                                          |WALK IT OUT (REMIX)
PLUTO & YE.                                                  |BREATH
THE ISLEY BROTHERS                                           |SHOUT (PART 1 & 2)
YG                                                           |MY HITTA
MICHAEL JACKSON                                              |P.Y.T. (PRETTY YOUNG THING)
CARNAGE (DJ)                                                 |KAT!E (INSTRUMENTAL)
BRILLZ                                                       |WTPA (FEAT. MS WILLIAMS)
BRILLZ                                                       |HAWT
BRILLZ                                                       |HAWT (GETTER REMIX)
JUST BLAZE & BAAUER                                          |HIGHER (EXTENDED)
NELLY                                                        |HOT IN HERRE
UNK                                                          |WALK IT OUT
TIESTO                                                       |KNOCK YOU OUT
TIESTO                                                       |SPARKLES
TIESTO                                                       |SPARKLES (MAGIKAL REMAKE)
TIESTO                                                       |MAXIMAL CRAZY (ORIGINAL MIX)
DEADMAU5                                                     |ORCA
DEADMAU5                                                     |FML
MACKLEMORE & RYAN LEWIS                                      |WINGS
BOB MARLEY                                                   |JAMMING (12" MIX)
BOB MARLEY                                                   |JAMMING (LONG VERSION)
THE BLOODY BEETROOTS                                         |WARP 1.9
DRAKE                                                        |I'M GOIN IN
CREEDENCE CLEARWATER REVIVAL                                 |SUZIE Q
TIESTO                                                       |ADAGIO FOR STRINGS (RADIO EDIT)
TIESTO                                                       |ELEMENTS OF LIFE
DRUNKENMUNKY                                                 |E (RADIO MIX)
TIESTO                                                       |ELEMENTS OF LIFE (RADIO EDIT LIVE FROM COPENHAGEN)
DRUNKENMUNKY                                                 |E (EXTENDED MIX)
DRUNKENMUNKY                                                 |E
TIESTO                                                       |ADAGIO FOR STRINGS
KESHA                                                        |BLOW
KESHA                                                        |TAKE IT OFF (BILLBOARD REMIX)
KESHA                                                        |TAKE IT OFF
TIESTO                                                       |I WILL BE HERE (TIESTO REMIX)
TIESTO                                                       |I WILL BE HERE (WOLFGANG GARTNER REMIX)
TIESTO                                                       |SANCTIFICUM
KESHA                                                        |BLOW (CIRKUT REMIX)
ENUR                                                         |CALABRIA 2008
BOB MARLEY                                                   |JAMMING
ELLE KING                                                    |EX'S AND OH'S
THE GOO GOO DOLLS                                            |SLIDE
MATCHBOX TWENTY                                              |3:00 AM
THE GOO GOO DOLLS                                            |IRIS
AC/DC                                                        |THUNDERSTRUCK
SYSTEM OF A DOWN                                             |ATWA
HARDWELL                                                     |APOLLO (HARDWELL'S CLUB LIFE EDIT)
SUGAR RAY                                                    |FLY (FEAT. SUPER CAT)
CALVIN HARRIS                                                |SWEET NOTHING (FEAT. FLORENCE WELCH)  (DIPLO + GRANDTHEFT REMIX)
ROBERT JOHN                                                  |THE LION SLEEPS TONIGHT
GERRY & THE PACEMAKERS                                       |HOUSE OF THE RISING SUN
JOSEPH WILLIAMS (CHILDREN'S)                                 |CAN YOU FEEL THE LOVE TONIGHT (ALBUM VERSION)
JERSEY BOYS (ORIGINAL BROADWAY CAST)                         |BIG GIRLS DON'T CRY
RAY PARKER JR                                                |GHOSTBUSTERS
CALVIN HARRIS                                                |BLAME (FEAT. JOHN NEWMAN) (R3HAB TRAP REMIX)
JOHN LLOYD YOUNG                                             |WALK LIKE A MAN
CALVIN HARRIS                                                |BOUNCE
DEAN MARTIN                                                  |KING OF THE ROAD
KELLY ROWLAND                                                |DILEMMA (NELLY FEAT. KELLY ROWLAND)
KESHA                                                        |BLOW REMIX (FEAT. B.O.B.)
PINK FLOYD                                                   |ANOTHER BRICK IN THE WALL PART 1

PINK FLOYD                                                   |SHINE ON YOU CRAZY DIAMOND (PARTS I-VII)
WIZ KHALIFA                                                  |SEE YOU AGAIN (FEAT. CHARLIE PUTH)
BINGO PLAYERS                                                |GET UP (RATTLE) (FEAT. FAR EAST MOVEMENT) (VOCAL EDIT)
TECH N9NE                                                    |LET ME IN
BINGO PLAYERS                                                |DON'T BLAME THE PARTY (MODE) (FIREBEATZ REMIX)
JERSEY BOYS (ORIGINAL BROADWAY CAST)                         |MEDLEY
AAREN SAN                                                    |FAIRY TALES FROM OSC
TJR & VINAI                                                  |BOUNCE GENERATION
LIL WAYNE                                                    |RACKS
MACKLEMORE & RYAN LEWIS                                      |DANCE OFF (FEAT. IDRIS ELBA & ANDERSON .PAAK)
PINK FLOYD                                                   |ANOTHER BRICK IN THE WALL PART 3
UB40                                                         |THE WAY YOU DO THE THINGS YOU DO (LIVE)
DARUDE                                                       |MUSIC
GREASE (ORIGINAL 1978 MOTION PICTURE SOUNDTRACK)             |SANDY
THE NOTORIOUS B.I.G.                                         |HYPNOTIZE (2014 REMASTERED VERSION)
THE BANGLES                                                  |MANIC MONDAY
2PAC                                                         |CALIFORNIA LOVE
DEF LEPPARD                                                  |ARMAGEDDON IT
RUSH                                                         |'2112': I: OVERTURE / II: THE TEMPLES OF SYRINX / III: DISCOVERY / IV: PRESENTATION / V: ORACLE: THE DREAM / VI. SOLILOQUY / VII. GRAND FINALE
THE STRUTS                                                   |DIRTY SEXY MONEY
NINE DAYS                                                    |ABSOLUTELY (STORY OF A GIRL)
TWENTY ONE PILOTS                                            |POLARIZE
DEVOTCHKA                                                    |CHARLOTTE MITTNACHT (THE FABULOUS DESTINY OF...)
DEVOTCHKA                                                    |STRIZZALO
BLIND PILOT                                                  |ONE RED THREAD
THE PIANO GUYS                                               |THE CELLO SONG
BROKEN BELLS                                                 |THE GHOST INSIDE
KANYE WEST                                                   |HEARTLESS
JACKSON BROWNE                                               |DOCTOR MY EYES
THE GOO GOO DOLLS                                            |BETTER DAYS
BOB SEGER                                                    |HOLLYWOOD NIGHTS
FAR EAST MOVEMENT                                            |ROCKETEER
BOB SEGER                                                    |AGAINST THE WIND
JACK JOHNSON                                                 |SITTING, WAITING, WISHING
KEITH URBAN                                                  |DAYS GO BY
THE BEATLES                                                  |GET BACK (DEMO)
SUFJAN STEVENS                                               |CHICAGO (ADULT CONTEMPORARY EASY LISTENING VERSION)
THE BLACK CROWES                                             |HARD TO HANDLE
THE INK SPOTS                                                |IF I DIDN'T CARE
SEBASTIAN INGROSSO & TOMMY TRASH                             |RELOAD
TODD TERJE                                                   |INSPECTOR NORSE
SLY & THE FAMILY STONE                                       |DANCE TO THE MUSIC
THE DREAM ACADEMY                                            |LIFE IN A NORTHERN TOWN (EXTENDED VERSION)
ATC (A TOUCH OF CLASS)                                       |AROUND THE WORLD (LA LA LA LA LA)
MAX FROST                                                    |NICE AND SLOW
PROFESSOR GREEN                                              |JUNGLE
LINDSEY STIRLING                                             |ZI ZI'S JOURNEY
THE BOLLOX                                                   |TURA'LU
DIDO                                                         |WHITE FLAG
NOEMÍ                                                        |IN MY DREAMS
SULTAN & NED SHEPARD                                         |WALLS (ORIGINAL MIX)
DEMI LOVATO                                                  |GIVE YOUR HEART A BREAK
DONNA LEWIS                                                  |I LOVE YOU ALWAYS FOREVER
THE PENGUINS                                                 |EARTH ANGEL
DONAVON FRANKENREITER                                        |FREE
ADELE                                                        |SOMEONE LIKE YOU
ESCALA                                                       |REQUIEM FOR A TOWER
PUDDLE OF MUDD                                               |SPIN YOU AROUND
BUSH                                                         |MACHINEHEAD
RUSH                                                         |LIMELIGHT
GERALD LEVERT                                                |REACH OUT I'LL BE THERE (LIVE)
TED NUGENT                                                   |STRANGLEHOLD
ALBERT KING & STEVIE RAY VAUGHAN                             |PRIDE AND JOY
VAMPIRE WEEKEND                                              |CAMPUS
ANNA NALICK                                                  |BREATHE (2 AM)
ODESZA                                                       |SAY MY NAME (FEAT. ZYRA) (JAI WOLF REMIX)
JONATHAN EDWARDS                                             |SUNSHINE
ROBIN SCHULZ                                                 |SUN GOES DOWN (FEAT. JASMINE THOMPSON) (RADIO MIX)
DVBBS & BORGEOUS                                             |TSUNAMI
FLUME & CHET FAKER                                           |DROP THE GAME
KASKADE                                                      |NEVER SLEEP ALONE
THE ANGELS (60S)                                             |MY BOYFRIEND'S BACK
JOURNEY                                                      |LOVIN', TOUCHIN', SQUEEZIN'
EAGLES                                                       |DESPERADO
DIANA ROSS                                                   |I'M COMING OUT
GLADOS & JONATHAN COULTON                                    |STILL ALIVE
CREED                                                        |HIGHER
DICKEY BETTS                                                 |RAMBLIN' MAN (FEAT. THE ALLMAN BROTHERS BAND)
PUDDLE OF MUDD                                               |BLURRY
SERJ TANKIAN                                                 |HONKING ANTELOPE
FRESH THE CLOWNS                                             |HOW FAST (#FTCCHALLENGE)
SIA                                                          |THE GREATEST
IMAGINE DRAGONS                                              |POLAROID
WALK THE MOON                                                |WORK THIS BODY
WALK OFF THE EARTH                                           |CORNER OF QUEEN
KYLIE MINOGUE                                                |CAN'T GET YOU OUT OF MY HEAD
COLD WAR KIDS                                                |SANTA ANA WINDS
JIMMY EAT WORLD                                              |SURE AND CERTAIN
COLBIE CAILLAT                                               |FALLIN' FOR YOU
JUDY KUHN                                                    |SATURDAY NIGHT (IS THE LONELIEST NIGHT OF THE WEEK)
BROKENCYDE                                                   |JEALOUSY
WEEZER                                                       |TROUBLEMAKER
THE J. GEILS BAND                                            |LOVE STINKS
MATTHEW WILDER & DAVID ZIPPEL (CHILDREN'S)                   |I'LL MAKE A MAN OUT OF YOU
PULLMAN                                                      |LYASNYA
MADELEINE PEYROUX                                            |J'AI DEUX AMOURS
BEIRUT                                                       |LA BANLIEUE
DUO GADJO & THEIR HOT FRIENDS                                |SOUS LE CIEL DE PARIS
THE SECTION QUARTET                                          |THE MAN WHO SOLD THE WORLD
LANDIS                                                       |HYPNOTICA
RADIOHEAD                                                    |WEIRD FISHES / ARPEGGI
ANDREW BIRD                                                  |THE SUPINE
EL TEN ELEVEN                                                |MY ONLY SWERVING
DEVOTCHKA                                                    |NEW WORLD
AL GREEN                                                     |HERE I AM
ENRIQUE IGLESIAS                                             |ESCAPE
JEM                                                          |COME ON CLOSER
BLONDIE                                                      |DREAMING
ACEYALONE                                                    |LIGHTS OUT (FEAT. SAYYID & PRIEST) (AIRBORNE AUDIO)
BLACKBIRD                                                    |NO BELIEF
ENUR                                                         |ENUR'S BONFIRE (LUMIDEE REMIX)
JAMES ARTHUR                                                 |TRAIN WRECK
JOHN MELLENCAMP                                              |CHERRY BOMB
HERMAN'S HERMITS                                             |CAN'T YOU HEAR MY HEARTBEAT
SIGMA                                                        |NOBODY TO LOVE (RADIO EDIT)
AYOKAY                                                       |KINGS OF SUMMER (FEAT. QUINN XCII)
THE RIP CHORDS                                               |HEY LITTLE COBRA
BARENAKED LADIES                                             |IT'S ALL BEEN DONE
AWOLNATION                                                   |RUN
SHOCKING BLUE                                                |NEVER MARRY A RAILROAD MAN
CROWN THE EMPIRE                                             |MEMORIES OF A BROKEN HEART
WE CAME AS ROMANS                                            |CAST THE FIRST STONE
ATTACK ATTACK! (US)                                          |TURBO SWAG
A DAY TO REMEMBER                                            |MR. HIGHWAY'S THINKING ABOUT THE END
RAY CHARLES                                                  |I GOT A WOMAN
LITTLE RICHARD                                               |WHOLE LOTTA SHAKIN' GOIN' ON
ELVIS PRESLEY                                                |BLUE SUEDE SHOES (TV)
SANTANA                                                      |PUT YOUR LIGHTS ON
AGENT ORANGE                                                 |BREAKDOWN
DEAD KENNEDYS                                                |DRUG ME
SEX PISTOLS                                                  |HOLIDAYS IN THE SUN
ALT-J                                                        |MATILDA
PASTOR TROY                                                  |MY DOG TAGS
ARCTIC MONKEYS                                               |CORNERSTONE
COMMODORES                                                   |SWEET LOVE
BOB SEGER                                                    |KATMANDU
GUMMI BEAR                                                   |I'M YOUR GUMMI BEAR
KAT DELUNA                                                   |WHINE UP
AUGUSTANA                                                    |BOSTON
THE ALL-AMERICAN REJECTS                                     |DIRTY LITTLE SECRET
KASKADE                                                      |DONT STOP DANCING
DWAYNE JOHNSON (CHILDREN'S)                                  |YOU'RE WELCOME
SMOKEY ROBINSON & THE MIRACLES                               |YOU'VE REALLY GOT A HOLD ON ME
DAVID RUSH                                                   |SHOOTING STAR (PARTY ROCK MIX)
SAM SMITH                                                    |TOO GOOD AT GOODBYES (ACOUSTIC)
NF                                                           |LIE
CHILDISH GAMBINO                                             |LETTER HOME
SIDO                                                         |WEIHNACHTSSONG (2016 - REMASTER)
MAJOR LAZER & LA ROUX                                        |IN 4 THE KILL PON DE SKREAM
ED SHEERAN                                                   |PERFECT (DUET WITH BEYONCÉ)
LINDSEY STIRLING                                             |ELEMENTS
GODSMACK                                                     |LOVE-HATE-SEX-PAIN
SHINEDOWN                                                    |HOW DID YOU LOVE
COMMON MARKET                                                |NINA SING (FEAT. FUNKLOVE)
RADIOHEAD                                                    |VIDEOTAPEZ
ROOTBEER                                                     |SO GOOD
AER                                                          |WHAT YOU NEED
GRITS                                                        |OHH AHH (REMIX)
QUINN XCII                                                   |IRON & STEEL
THE WHITEST BOY ALIVE                                        |GOLDEN CAGE (FRED FALKE REMIX)
LISA                                                         |CROSSING FIELD
YOKO KANNO                                                   |INNER UNIVERSE
MASHUR & KEVLAR                                              |FINALE
TUESDAY BORN                                                 |SLEEP WITH STARS
CANBLASTER                                                   |I CAN'T WAIT
GARY D                                                       |B.A.S.S. KICK DOWN (DAYWALKER REMIX)
CUT COPY                                                     |THAT WAS JUST A DREAM
WE HAVE BAND                                                 |HEAR IT IN THE CANS (DIY VERSION)
PETER GABRIEL                                                |IN YOUR EYES
THE BEAU BRUMMELS                                            |BANG BANG
IMAGINE DRAGONS                                              |I'M SO SORRY
SKILLET                                                      |COMATOSE
TAYLOR SWIFT                                                 |EVERYTHING HAS CHANGED
ELLA EYRE                                                    |WE DON'T HAVE TO TAKE OUR CLOTHES OFF
ISAIAH                                                       |IT'S GOTTA BE YOU
ERIC HUTCHINSON                                              |FOOD CHAIN
GAVIN DEGRAW                                                 |NEXT TO ME (WAIT A MINUTE SISTER)
WILSON PICKETT                                               |KNOCK ON WOOD
WEEZER                                                       |(IF YOU'RE WONDERING IF I WANT YOU TO) I WANT YOU TO
DIPLO                                                        |YOUNG FOLKS
BUSH                                                         |COMEDOWN (ACOUSTIC) (LIVE)
STEVIE WONDER                                                |DON'T YOU WORRY 'BOUT A THING
THE CARS                                                     |SHAKE IT UP
SIMPLE PLAN                                                  |SURRENDER
CROSBY, STILLS & NASH                                        |OUR HOUSE
THE SUPREMES                                                 |YOU CAN'T HURRY LOVE
MURS                                                         |ROAD IS MY RELIGION
KATE VOEGELE                                                 |HALLELUJAH
COREY HART                                                   |SUNGLASSES AT NIGHT
BUSH                                                         |SWALLOWED
MATT NATHANSON                                               |WEIGHT OF IT ALL
MICHELLE BRANCH                                              |ALL YOU WANTED
KESHA                                                        |C'MON
PITBULL                                                      |INTERNATIONAL LOVE
COLDPLAY                                                     |TROUBLE
ALAN WALKER                                                  |FADED (DASH BERLIN REMIX)
THE XX                                                       |CRYSTALISED
SCARS ON BROADWAY                                            |INSANE
COMMON                                                       |LOVE IS...
ANDRE 3000                                                   |YOU
RAY CHARLES                                                  |THE MIDNIGHT HOUR
ODESZA                                                       |SAY MY NAME (FEAT. ZYRA) (AMBASSADEURS REMIX)
ARETHA FRANKLIN                                              |I SAY A LITTLE PRAYER
FALL OUT BOY                                                 |MY SONGS KNOW WHAT YOU DID IN THE DARK (LIGHT EM UP)
RIHANNA                                                      |PON DE REPLAY (REMIX)
KEVIN LYTTLE                                                 |TURN ME ON
LYNYRD SKYNYRD                                               |THE BALLAD OF CURTIS LOEW
STEVIE NICKS                                                 |STAND BACK
JIMI HENDRIX                                                 |LITTLE WING
GROUPLOVE                                                    |LOVELY CUP
MUDVAYNE                                                     |SHADOW OF A MAN
KINGS OF LEON                                                |CLOSER
ZIGGY X                                                      |X-ERCIZE 5
FUNKER VOGT                                                  |KILLING GROUND
DELTA HEAVY                                                  |MAKE IT RAIN
KAISER CHIEFS                                                |NEVER MISS A BEAT
LUPE FIASCO                                                  |GO BABY
LINDSEY STIRLING                                             |NIGHT VISION
SWINDOE                                                      |BLKBERRY 2.0
BIZZY BONE                                                   |STONEHENGE
WRETCH 32                                                    |UNORTHODOX (FEAT. EXAMPLE) (RADIO EDIT)
TOOL                                                         |PUSHIT
PARLIAMENT                                                   |FLASH LIGHT (12-INCH VERSION)
BLACK SABBATH                                                |NEON KNIGHTS
CAGE THE ELEPHANT                                            |COME A LITTLE CLOSER
TRACY CHAPMAN                                                |GIVE ME ONE REASON
BLUR                                                         |SHE'S SO HIGH
PEARL JAM                                                    |JUST BREATHE
MAJOR LAZER & LA ROUX                                        |BULLETPROOF (NACEY REMIX)
CHRISTINA PERRI                                              |BACKWARDS
THE TOKENS                                                   |I'LL REMEMBER (IN THE STILL OF THE NIGHT)
BILL HALEY & HIS COMETS                                      |SHAKE, RATTLE AND ROLL
ISRAEL 'IZ' KAMAKAWIWO'OLE                                   |SOMEWHERE OVER THE RAINBOW / WHAT A WONDERFUL WORLD
JAMES TAYLOR                                                 |COUNTRY ROAD
DAFT PUNK                                                    |C.L.U.
DRAKE                                                        |WITH YOU (FEAT. PARTYNEXTDOOR)
SIMPLE PLAN                                                  |I'D DO ANYTHING
THE TEMPTATIONS                                              |I CAN'T GET NEXT TO YOU
STEELY DAN                                                   |HEY NINETEEN
MATCHBOX TWENTY                                              |BACK 2 GOOD
THE RACONTEURS                                               |LEVEL
BEASTIE BOYS                                                 |POSSE IN EFFECT
C+C MUSIC FACTORY                                            |GONNA MAKE YOU SWEAT (EVERYBODY DANCE NOW)
WILL SMITH                                                   |MIAMI
RIHANNA                                                      |WHAT'S MY NAME?
MICHAEL BUBLÉ                                                |CLOSE YOUR EYES
JACK JOHNSON                                                 |BANANA PANCAKES
RUCKA RUCKA ALI                                              |I CAN DO WHATEVER I'M WHITE
CASCADA                                                      |EVACUATE THE DANCEFLOOR
FALL OUT BOY                                                 |IMMORTALS
BACKSTREET BOYS                                              |INCOMPLETE
CHRIS THOMPSON                                               |YOU'RE THE VOICE
MEGHAN TRAINOR                                               |LIKE I'M GONNA LOSE YOU (FEAT. JOHN LEGEND)
TREY SONGZ                                                   |I INVENTED SEX (FEAT. DRAKE)
REHAB                                                        |WHT DO U WNT FRM ME
METRIC                                                       |SICK MUSE
SWING                                                        |CANOPÉE
JSWISS                                                       |(RE)PLAY (FEAT. CHANDANIE)
MAWI & HAZAMA                                                |AL NURAA....YANG 5....YANG 6 (FEAT. DALY FILSUF)
MAC MILLER                                                   |PUT IT ON
PROZAK                                                       |UNTIL THEN
TIMEFLIES                                                    |I BELIEVE
DAVE MATTHEWS & TIM REYNOLDS                                 |CRASH INTO ME (LIVE 1999)
THE MATCHES                                                  |WAKE THE SUN
SPOON                                                        |DON'T YOU EVAH
CAKE                                                         |ARCO ARENA
WEEZER                                                       |PORK AND BEANS
SEAN KINGSTON                                                |TAKE YOU THERE
WEEZER                                                       |ONLY IN DREAMS
PITBULL                                                      |I KNOW YOU WANT ME (CALLE OCHO)
SMASH MOUTH                                                  |EVERYDAY SUPERHERO
2PAC                                                         |TO LIVE & DIE IN L.A. (ALTERNATIVE VERSION)
BEN RECTOR                                                   |BRAND NEW
DAVID GUETTA & CHRIS WILLIS                                  |LOVE IS GONE (MIKE D EXTENDED MIX)
DION                                                         |LOVERS WHO WANDER
SMASH MOUTH                                                  |CAN'T GET ENOUGH OF YOU BABY
SNOOP DOGG                                                   |SWEAT (RADIO EDIT)
BLACK FRAS                                                   |MOVING INTO LIGHT (FREEMASONS VOCAL)
THE CHAINSMOKERS                                             |CLOSER (FEAT. HALSEY) (R3HAB REMIX)
ANIKA NONI ROSE (CHILDREN'S)                                 |ALMOST THERE
RUELLE                                                       |LIVE LIKE LEGENDS
ALINA PUSCAU                                                 |WHEN YOU LEAVE (NUMA NUMA) (JASON NEVINS RADIO EDIT)
STEVE WINWOOD (HOLIDAY)                                      |CHRISTMAS IS NOW DRAWING NEAR AT HAND
BLINK-182                                                    |PLEASE TAKE ME HOME
OHIO PLAYERS                                                 |LOVE ROLLERCOASTER
KOOL & THE GANG                                              |KOOL & THE GANG
HOT CHELLE RAE                                               |I LIKE IT LIKE THAT
AVICII                                                       |MY FEELINGS FOR YOU (RADIO EDIT)
ELEPHANTE                                                    |CLOSER (FEAT. BISHØP)
GROUPLOVE                                                    |WAYS TO GO
COUNTING CROWS                                               |A LONG DECEMBER
COUNTING CROWS                                               |ROUND HERE
SOULJA BOY                                                   |KISS ME THRU THE PHONE
PENDULUM                                                     |UNDER THE WAVES
BOYS NOIZE                                                   |STARTER
JOHNNY CASH                                                  |GOD'S GONNA CUT YOU DOWN
PAIGE O'HARA, ROBBY BENSON, JERRY ORBACH, ANGELA LANSBURY & DAVID OGDEN STIERS (CHILDREN'S)|SOMETHING THERE
TINIE TEMPAH                                                 |GIRLS LIKE (FEAT. ZARA LARSSON)
JEREMIH                                                      |IMMA STAR (EVERYWHERE WE ARE)
FAIRPORT CONVENTION                                          |RAMBLE ON (FEAT. ROBERT PLANT) (LIVE)
PANIC! AT THE DISCO                                          |IMPOSSIBLE YEAR
DAVID BOWIE                                                  |GOLDEN YEARS (2011 SINGLE VERSION)
J. DASH                                                      |WOP
ELTON JOHN                                                   |SORRY SEEMS TO BE THE HARDEST WORD
AKON                                                         |KEEP YOU MUCH LONGER
NAXXOS                                                       |NEW ORLEANS (SAM FELDT REMIX)
APOCALYPTICA                                                 |STROKE
J-KWON                                                       |DO THE STEIVE
CAMP LO                                                      |LUCHINI
PROJECT PAT                                                  |YOU LIKE
JUAN GOTTI                                                   |GOOD THANGS
GYM CLASS HEROES                                             |CUPID'S CHOKEHOLD (FEAT. PATRICK STUMP)
TERRAVITA                                                    |UP IN THE CLUB (ORIGINAL MIX)
GLORIA ESTEFAN                                               |RHYTHM IS GONNA GET YOU
MIAMI SOUND MACHINE                                          |FALLING IN LOVE
DROPKICK MURPHYS                                             |LOYAL TO NO ONE
GENESIS                                                      |NO REPLY AT ALL
KOLOMBO                                                      |I'M ON YOUR SIDE (KRUSE & NUERNBERG REMIX)
TRANS-SIBERIAN ORCHESTRA                                     |REQUIEM (THE FIFTH)
ESCALA                                                       |CLUBBED TO DEATH
SHOCKING BLUE                                                |THE BIRD OF PARADISE
STRAWBERRY ALARM CLOCK                                       |INCENSE AND PEPPERMINTS
THE ANIMALS                                                  |WE GOTTA GET OUT OF THIS PLACE
AVALON                                                       |NEW DAY
AMBER RUN                                                    |I FOUND
RON POPE                                                     |A DROP IN THE OCEAN
HOT CHELLE RAE                                               |HONESTLY
PHIL COLLINS                                                 |SOMETHING HAPPENED ON THE WAY TO HEAVEN
THE HONEYCOMBS                                               |HAVE I THE RIGHT
SWEET                                                        |LOVE IS LIKE OXYGEN
PARACHUTE                                                    |SHE IS LOVE
ETTA JAMES                                                   |AT LAST
AVRIL LAVIGNE                                                |I'M WITH YOU
BILL HALEY & HIS COMETS                                      |SEE YOU LATER, ALLIGATOR
WILDBOYRA                                                    |WILDNOUT
NF                                                           |THERAPY SESSION
CAKE                                                         |NEVER THERE
NOSTALGIA                                                    |THE HERO
RATT                                                         |LAY IT DOWN
SEETHER                                                      |CARELESS WHISPER
GRAMATIK                                                     |THE PROPHET
APOCALYPTICA                                                 |NOT STRONG ENOUGH
BUDDY HOLLY                                                  |IT DOESN'T MATTER ANYMORE
THE CARS                                                     |DRIVE
GARY NUMAN                                                   |CARS
RADICAL FACE                                                 |WRAPPED IN PIANO STRINGS
THE GOO GOO DOLLS                                            |NAME
MATCHBOX TWENTY                                              |IF YOU'RE GONE
NEIL YOUNG                                                   |CINNAMON GIRL
JFB                                                          |DUCK JAM
DURAN DURAN                                                  |RIO (PART ONE)
THE FRAY                                                     |ENOUGH FOR NOW
STRAIGHT NO CHASER                                           |THE MAN WHO CAN'T BE MOVED
OXYMORON                                                     |ANTI
DEAD KENNEDYS                                                |WINNEBAGO WARRIOR
HUSKER DU                                                    |SOMETHING I LEARNED TODAY
